A,B,C,D,E,F
10,61.32,2,12.19,-80.4167,-54.2417
24,131.17,18,268.33,-89.3292,-10.9682
34,181.46,27,412.04,28.0457,77.0548
9,56.19,30,460.42,-26.1609,-68.1513
38,201.49,37,571.97,-4.30043,-11.203
24,131.23,4,44.36,18.4195,60.2472
36,191.41,14,204.29,-26.0961,-28.9826
33,176.05,35,540.2,39.9996,34.7711
27,146.48,3,28.21,42.7482,71.1449
19,106.11,30,460.23,-36.7242,-4.50916
10,61.15,31,476.49,-22.7898,-66.1863
32,171.36,0,-19.88,-89.1241,-12.5256
27,146.54,39,604.22,16.5808,11.1838
5,36.09,14,204.41,-19.7149,-11.8459
23,126.41,20,300.12,-12.5801,-8.16958
18,101.12,13,188.36,-9.51057,-3.09017
18,101.25,25,380.42,-7.72558,-12.8575
3,26.09,4,44.3,-24.5119,-52.5658
33,176.56,8,108.56,0.777146,0.62932
31,166.54,13,188.36,29.9634,58.8064
19,106.01,39,604.33,-28.8659,-44.4495
7,46.14,32,492.38,38.7939,53.3951
21,116.51,0,-19.5,-50.0349,-31.2652
35,186.14,31,476.19,-40.7524,-10.1607
2,21.24,16,236.29,26.5,45.8993
17,96.07,32,492.2,-6.35588,-12.4741
26,141.12,31,476.3,-4.01479,-4.45887
31,166.47,8,108.33,31.7255,71.2565
25,136.12,18,268.38,46.2944,71.287
18,101.34,20,300.3,-6.29321,-7.77145
11,66.05,21,316.25,-65.8301,-26.597
39,206.15,38,588.39,-5.26271,-17.2135
6,41.55,27,412.06,-79.4037,-9.74954
33,176.36,29,444.22,-80.5737,-48.4135
8,51.22,18,268.53,56.7368,44.3276
19,106.5,28,428.55,4.60252,1.95365
34,181.42,17,252.4,47.9315,49.6344
8,51.53,7,92.48,-62.0496,-52.0658
11,66.43,29,444.17,-54.7763,-11.643
33,176.3,3,28.5,3.31615,2.23677
9,56.49,28,428.55,-43.4935,-48.3044
30,161.5,21,316.2,3.74608,9.27184
13,76.53,9,124.39,20.2511,8.59608
23,126.42,5,60.04,42.3593,38.1404
22,121.2,9,124.02,-84.0222,-32.2531
13,76.24,11,156.47,44.3299,47.538
9,56.26,36,556.44,-9.32576,-7.55184
20,111.5,33,508.05,53.6749,34.8569
6,41.02,39,604.43,82.4567,16.0279
11,66.16,27,412.32,22.878,79.7847
21,116.12,9,124.21,-32.8744,-2.87614
6,41.23,36,556.43,31.5,54.5596
34,181.31,36,556.02,-11.3309,-18.8577
35,186.07,19,284.23,9.06355,29.6454
14,81.28,21,316.34,-62.0989,-15.483
19,106.45,37,572.05,83.0889,46.0569
0,11.19,39,604.38,-39.7262,-85.1929
18,101.18,35,540.07,49.8686,63.8288
19,106.37,36,556.45,59.7793,71.2421
26,141.55,22,332.44,45.8862,65.5321
32,170.98,4,44.17,12.256,26.2829
5,36.1,18,267.97,-10.8178,-35.3833
7,46.13,35,540.25,-15.706,-3.05294
25,136.15,16,236.42,12.5429,32.6753
33,176.17,6,76.14,78.2429,33.2121
24,131.15,24,363.97,-6.76191,-14.5009
1,16.29,29,444.25,68.4857,8.40898
23,126.53,14,204.13,-12.2567,-10.2846
20,111.26,22,332.52,19.8372,54.5022
38,201.22,18,268.1,-48.1041,-26.6645
